grid: 2, block: 256
dim: 3, num_nodes: 16, num_parts: 16
input: (16, 3)1--block_warpId: 0, MAX_DIM: 128, presult_base: 0
1--block_warpId: 0, MAX_DIM: 128, presult_base: 0
1--block_warpId: 0, MAX_DIM: 128, presult_base: 0
1--block_warpId: 0, MAX_DIM: 128, presult_base: 0
1--block_warpId: 0, MAX_DIM: 128, presult_base: 0
1--block_warpId: 0, MAX_DIM: 128, presult_base: 0
1--block_warpId: 0, MAX_DIM: 128, presult_base: 0
1--block_warpId: 0, MAX_DIM: 128, presult_base: 0
1--block_warpId: 0, MAX_DIM: 128, presult_base: 0
1--block_warpId: 0, MAX_DIM: 128, presult_base: 0
1--block_warpId: 0, MAX_DIM: 128, presult_base: 0
1--block_warpId: 0, MAX_DIM: 128, presult_base: 0
1--block_warpId: 0, MAX_DIM: 128, presult_base: 0
1--block_warpId: 0, MAX_DIM: 128, presult_base: 0
1--block_warpId: 0, MAX_DIM: 128, presult_base: 0
1--block_warpId: 0, MAX_DIM: 128, presult_base: 0
1--block_warpId: 0, MAX_DIM: 128, presult_base: 0
1--block_warpId: 0, MAX_DIM: 128, presult_base: 0
1--block_warpId: 0, MAX_DIM: 128, presult_base: 0
1--block_warpId: 0, MAX_DIM: 128, presult_base: 0
1--block_warpId: 0, MAX_DIM: 128, presult_base: 0
1--block_warpId: 0, MAX_DIM: 128, presult_base: 0
1--block_warpId: 0, MAX_DIM: 128, presult_base: 0
1--block_warpId: 0, MAX_DIM: 128, presult_base: 0
1--block_warpId: 0, MAX_DIM: 128, presult_base: 0
1--block_warpId: 0, MAX_DIM: 128, presult_base: 0
1--block_warpId: 0, MAX_DIM: 128, presult_base: 0
1--block_warpId: 0, MAX_DIM: 128, presult_base: 0
1--block_warpId: 0, MAX_DIM: 128, presult_base: 0
1--block_warpId: 0, MAX_DIM: 128, presult_base: 0
1--block_warpId: 0, MAX_DIM: 128, presult_base: 0
1--block_warpId: 0, MAX_DIM: 128, presult_base: 0
1--block_warpId: 4, MAX_DIM: 128, presult_base: 512
1--block_warpId: 4, MAX_DIM: 128, presult_base: 512
1--block_warpId: 4, MAX_DIM: 128, presult_base: 512
1--block_warpId: 4, MAX_DIM: 128, presult_base: 512
1--block_warpId: 4, MAX_DIM: 128, presult_base: 512
1--block_warpId: 4, MAX_DIM: 128, presult_base: 512
1--block_warpId: 4, MAX_DIM: 128, presult_base: 512
1--block_warpId: 4, MAX_DIM: 128, presult_base: 512
1--block_warpId: 4, MAX_DIM: 128, presult_base: 512
1--block_warpId: 4, MAX_DIM: 128, presult_base: 512
1--block_warpId: 4, MAX_DIM: 128, presult_base: 512
1--block_warpId: 4, MAX_DIM: 128, presult_base: 512
1--block_warpId: 4, MAX_DIM: 128, presult_base: 512
1--block_warpId: 4, MAX_DIM: 128, presult_base: 512
1--block_warpId: 4, MAX_DIM: 128, presult_base: 512
1--block_warpId: 4, MAX_DIM: 128, presult_base: 512
1--block_warpId: 4, MAX_DIM: 128, presult_base: 512
1--block_warpId: 4, MAX_DIM: 128, presult_base: 512
1--block_warpId: 4, MAX_DIM: 128, presult_base: 512
1--block_warpId: 4, MAX_DIM: 128, presult_base: 512
1--block_warpId: 4, MAX_DIM: 128, presult_base: 512
1--block_warpId: 4, MAX_DIM: 128, presult_base: 512
1--block_warpId: 4, MAX_DIM: 128, presult_base: 512
1--block_warpId: 4, MAX_DIM: 128, presult_base: 512
1--block_warpId: 4, MAX_DIM: 128, presult_base: 512
1--block_warpId: 4, MAX_DIM: 128, presult_base: 512
1--block_warpId: 4, MAX_DIM: 128, presult_base: 512
1--block_warpId: 4, MAX_DIM: 128, presult_base: 512
1--block_warpId: 4, MAX_DIM: 128, presult_base: 512
1--block_warpId: 4, MAX_DIM: 128, presult_base: 512
1--block_warpId: 4, MAX_DIM: 128, presult_base: 512
1--block_warpId: 4, MAX_DIM: 128, presult_base: 512
1--block_warpId: 2, MAX_DIM: 128, presult_base: 256
1--block_warpId: 2, MAX_DIM: 128, presult_base: 256
1--block_warpId: 2, MAX_DIM: 128, presult_base: 256
1--block_warpId: 2, MAX_DIM: 128, presult_base: 256
1--block_warpId: 2, MAX_DIM: 128, presult_base: 256
1--block_warpId: 2, MAX_DIM: 128, presult_base: 256
1--block_warpId: 2, MAX_DIM: 128, presult_base: 256
1--block_warpId: 2, MAX_DIM: 128, presult_base: 256
1--block_warpId: 2, MAX_DIM: 128, presult_base: 256
1--block_warpId: 2, MAX_DIM: 128, presult_base: 256
1--block_warpId: 2, MAX_DIM: 128, presult_base: 256
1--block_warpId: 2, MAX_DIM: 128, presult_base: 256
1--block_warpId: 2, MAX_DIM: 128, presult_base: 256
1--block_warpId: 2, MAX_DIM: 128, presult_base: 256
1--block_warpId: 2, MAX_DIM: 128, presult_base: 256
1--block_warpId: 2, MAX_DIM: 128, presult_base: 256
1--block_warpId: 2, MAX_DIM: 128, presult_base: 256
1--block_warpId: 2, MAX_DIM: 128, presult_base: 256
1--block_warpId: 2, MAX_DIM: 128, presult_base: 256
1--block_warpId: 2, MAX_DIM: 128, presult_base: 256
1--block_warpId: 2, MAX_DIM: 128, presult_base: 256
1--block_warpId: 2, MAX_DIM: 128, presult_base: 256
1--block_warpId: 2, MAX_DIM: 128, presult_base: 256
1--block_warpId: 2, MAX_DIM: 128, presult_base: 256
1--block_warpId: 2, MAX_DIM: 128, presult_base: 256
1--block_warpId: 2, MAX_DIM: 128, presult_base: 256
1--block_warpId: 2, MAX_DIM: 128, presult_base: 256
1--block_warpId: 2, MAX_DIM: 128, presult_base: 256
1--block_warpId: 2, MAX_DIM: 128, presult_base: 256
1--block_warpId: 2, MAX_DIM: 128, presult_base: 256
1--block_warpId: 2, MAX_DIM: 128, presult_base: 256
1--block_warpId: 2, MAX_DIM: 128, presult_base: 256
1--block_warpId: 6, MAX_DIM: 128, presult_base: 768
1--block_warpId: 6, MAX_DIM: 128, presult_base: 768
1--block_warpId: 6, MAX_DIM: 128, presult_base: 768
1--block_warpId: 6, MAX_DIM: 128, presult_base: 768
1--block_warpId: 6, MAX_DIM: 128, presult_base: 768
1--block_warpId: 6, MAX_DIM: 128, presult_base: 768
1--block_warpId: 6, MAX_DIM: 128, presult_base: 768
1--block_warpId: 6, MAX_DIM: 128, presult_base: 768
1--block_warpId: 6, MAX_DIM: 128, presult_base: 768
1--block_warpId: 6, MAX_DIM: 128, presult_base: 768
1--block_warpId: 6, MAX_DIM: 128, presult_base: 768
1--block_warpId: 6, MAX_DIM: 128, presult_base: 768
1--block_warpId: 6, MAX_DIM: 128, presult_base: 768
1--block_warpId: 6, MAX_DIM: 128, presult_base: 768
1--block_warpId: 6, MAX_DIM: 128, presult_base: 768
1--block_warpId: 6, MAX_DIM: 128, presult_base: 768
1--block_warpId: 6, MAX_DIM: 128, presult_base: 768
1--block_warpId: 6, MAX_DIM: 128, presult_base: 768
1--block_warpId: 6, MAX_DIM: 128, presult_base: 768
1--block_warpId: 6, MAX_DIM: 128, presult_base: 768
1--block_warpId: 6, MAX_DIM: 128, presult_base: 768
1--block_warpId: 6, MAX_DIM: 128, presult_base: 768
1--block_warpId: 6, MAX_DIM: 128, presult_base: 768
1--block_warpId: 6, MAX_DIM: 128, presult_base: 768
1--block_warpId: 6, MAX_DIM: 128, presult_base: 768
1--block_warpId: 6, MAX_DIM: 128, presult_base: 768
1--block_warpId: 6, MAX_DIM: 128, presult_base: 768
1--block_warpId: 6, MAX_DIM: 128, presult_base: 768
1--block_warpId: 6, MAX_DIM: 128, presult_base: 768
1--block_warpId: 6, MAX_DIM: 128, presult_base: 768
1--block_warpId: 6, MAX_DIM: 128, presult_base: 768
1--block_warpId: 6, MAX_DIM: 128, presult_base: 768
1--block_warpId: 5, MAX_DIM: 128, presult_base: 640
1--block_warpId: 5, MAX_DIM: 128, presult_base: 640
1--block_warpId: 5, MAX_DIM: 128, presult_base: 640
1--block_warpId: 5, MAX_DIM: 128, presult_base: 640
1--block_warpId: 5, MAX_DIM: 128, presult_base: 640
1--block_warpId: 5, MAX_DIM: 128, presult_base: 640
1--block_warpId: 5, MAX_DIM: 128, presult_base: 640
1--block_warpId: 5, MAX_DIM: 128, presult_base: 640
1--block_warpId: 5, MAX_DIM: 128, presult_base: 640
1--block_warpId: 5, MAX_DIM: 128, presult_base: 640
1--block_warpId: 5, MAX_DIM: 128, presult_base: 640
1--block_warpId: 5, MAX_DIM: 128, presult_base: 640
1--block_warpId: 5, MAX_DIM: 128, presult_base: 640
1--block_warpId: 5, MAX_DIM: 128, presult_base: 640
1--block_warpId: 5, MAX_DIM: 128, presult_base: 640
1--block_warpId: 5, MAX_DIM: 128, presult_base: 640
1--block_warpId: 5, MAX_DIM: 128, presult_base: 640
1--block_warpId: 5, MAX_DIM: 128, presult_base: 640
1--block_warpId: 5, MAX_DIM: 128, presult_base: 640
1--block_warpId: 5, MAX_DIM: 128, presult_base: 640
1--block_warpId: 5, MAX_DIM: 128, presult_base: 640
1--block_warpId: 5, MAX_DIM: 128, presult_base: 640
1--block_warpId: 5, MAX_DIM: 128, presult_base: 640
1--block_warpId: 5, MAX_DIM: 128, presult_base: 640
